 ERB	 Fc	 rl	 rA	 rI	 Plin	 Ln	 NOS	 LTL	 SPL	 MOS_LQO
15.9149	11.9396	0	0	0	45.0571	46.9026	12.1772	55.221	84.09	1.6783
19.7595	11.9719	0	0	0	30.8186	34.0816	10.3748	57.795	81.05	2.4077
21.7021	12.0316	0	0	0	18.023	19.5889	7.3934	55.18	79.12	2.5909
22.2886	12.0397	0	0	0	8.6963	10.3757	4.2841	53.47	78.77	3.3238
22.279	12.042	0	0	0	4.6881	4.8154	2.2725	53.032	78.75	3.5694
20.9993	12.0684	0	0	0	41.8079	53.7823	13.6499	66.972	79.77	2.253
21.6329	12.0336	0	0	0	34.1368	36.3212	12.0363	61.619	79.16	2.253
22.0978	12.0545	0	0	0	21.4035	20.4784	8.7375	55.483	78.79	2.5261
22.1662	12.0471	0	0	0	9.9793	10.6763	5.262	53.656	78.74	3.3674
22.2768	12.0496	0	0	0	4.6768	5.0612	2.7929	53.175	78.73	3.5841
16.5925	11.858	0	0	0	34.6748	37.2197	8.604	47.343	86.02	1.6118
19.9602	11.9685	0	0	0	20.0712	28.1901	7.6131	54.534	82.6	2.4836
21.7971	12.0184	0	0	0	11.309	16.1496	5.248	54.464	79.52	3.158
22.1056	12.0253	0	0	0	7.1673	8.4879	3.0967	53.298	78.81	3.6278
22.2403	12.0393	0	0	0	4.2677	4.2482	1.7745	52.958	78.74	3.2669
10.5768	9.7767	0	0	0	31.6829	29.8872	5.8674	39.644	87.46	1.5693
15.8265	11.7953	0	0	0	19.2728	24.1797	5.6967	51.619	84.58	1.7833
18.8092	11.9484	0	0	0	11.418	14.6494	3.9561	54.215	80.33	2.3869
21.6462	12.0206	0	0	0	8.05	7.787	2.402	53.267	78.91	3.3538
22.2274	12.043	0	0	0	4.8295	4.0055	1.4318	52.911	78.74	3.1422
11.6747	12.7807	0.004	2.8266	0	40.8672	46.6552	7.8833	58.609	80.83	1.786
14.2643	12.1009	0.004	3.4301	0	34.8316	37.6061	8.5736	58.722	78.03	1.5121
22.3046	12.0326	0	0	0	11.1558	18.3816	4.0567	53.518	78.87	3.3665
22.2674	12.0428	0	0	0	5.7285	9.5068	2.4057	52.977	78.73	3.4377
22.2395	12.0364	0	0.1969	0	3.6149	4.6298	1.5848	52.894	78.73	3.4698
13.2046	11.8099	0.007	0	0	25.9674	35.317	8.8123	71.251	84.14	1.5641
17.073	11.9565	0.002	0	0	15.4511	25.0497	6.9409	66.652	81.19	2.3751
19.5769	12.0105	0.002	0	0	10.2904	14.7915	4.7862	54.667	79.18	2.5844
21.8193	12.0378	0.002	0	0	6.3303	7.394	2.8535	53.285	78.79	2.8899
22.3271	12.0477	0.002	0	0	3.7678	3.4083	1.798	53.035	78.74	3.431
4	2.5186	0.001	0	0	45.5018	35.9678	5.522	45.08	92.6	1.8668
15.2465	11.8658	0	0	0	25.1648	27.6718	4.7684	53.08	88.14	1.963
20.6447	12.0116	0	0	0	14.388	15.9689	3.6828	54.464	81.59	2.8199
21.6461	12.034	0	0	0	8.0039	8.4043	2.2544	53.28	79.08	3.2517
22.3082	12.0371	0	0	0	4.9584	4.2105	1.2713	52.89	78.77	3.1608
11.7345	14.7642	0	0	0	39.7564	53.0942	10.9121	64.344	84.98	1.823
20.525	11.9932	0	0	0	30.9358	36.2311	10.52	60.189	79.69	2.3864
22.1269	12.0422	0	0	0	19.0138	20.3702	7.3173	54.814	78.85	2.5888
22.2509	12.0359	0	0	0	8.8007	10.7976	4.3215	53.391	78.75	3.3451
22.227	12.035	0	0	0	4.151	5.183	2.3052	52.967	78.74	3.5869
14.0994	13.4893	0	0	0	40.3801	53.3865	10.8371	61.512	78.18	1.4978
21.9162	12.0507	0	0	0	27.1653	31.0198	9.517	58.19	79.03	2.5015
22.2696	12.0451	0	0	0	17.4385	17.1973	7.0088	54.917	78.8	2.5475
22.3052	12.0409	0	0	0	8.3212	8.7273	4.2127	53.469	78.74	3.4162
22.2453	12.0364	0	0	0	4.0532	4.0358	2.2911	52.919	78.73	3.5797
14.5822	11.768	0	0	0	46.1442	46.1506	12.2532	49.514	83.77	1.5689
18.2665	11.9798	0	0	0	35.8667	33.5912	10.9997	45.492	80.77	1.9854
22.0694	12.0614	0	0	0	19.8901	19.4705	8.2306	41.692	78.9	2.55
22.0643	12.0577	0	0	0	11.1772	10.3192	4.7302	40.015	78.61	3.4382
22.043	12.0387	0	0	0	5.9509	4.7689	2.3044	39.439	78.59	3.3581
18.2141	12.0317	0	0	0	45.5125	53.6952	13.3486	60.59	79.64	2.2168
20.7624	12.0289	0	0	0	40.7334	36.2574	12.3832	49.369	78.9	2.253
22.1858	12.0291	0	0	0	23.7015	20.5243	9.2348	42.585	78.61	2.5286
22.1978	12.0301	0	0	0	13.488	10.7154	5.5836	40.267	78.58	2.5216
22.2137	12.0358	0	0	0	6.4888	5.0931	3.0067	39.505	78.59	3.7798
16.3087	11.85	0	0	0	34.8142	36.5828	8.7067	43.57	85.9	1.6118
19.8404	12.0047	0	0	0	23.2968	27.8974	7.986	42.319	82.42	2.4092
22.2942	12.0343	0	0	0	13.8607	16.2653	5.5192	40.784	79.3	2.5565
22.058	12.0442	0	0	0	8.8095	8.6134	3.2884	39.756	78.66	3.5335
22.0426	12.0323	0	0	0	5.63	4.2102	1.7361	39.446	78.6	3.2584
14.907	11.8004	0	0	0	23.27	25.6279	5.9747	39.076	84.42	1.8084
17.815	11.9821	0	0	0	12.9395	15.4712	4.1926	40.563	80.09	3.0835
19.5779	11.9826	0	0	0	8.5105	8.2459	2.6211	39.727	78.76	3.1307
21.1148	12.0112	0	0	0	5.8623	4.2184	1.417	39.411	78.61	3.2333
18.7118	12.461	0.002	0	0	31.2339	36.4207	7.8884	52.756	79.64	1.7987
22.2405	12.0366	0.001	0	0	22.4471	24.6192	6.5887	45.187	78.84	2.4032
22.1003	12.0481	0.002	0.5889	0	13.184	13.3061	4.6131	40.485	78.69	1.9218
22.1527	12.0503	0.005	1.0454	0	8.8428	7.0913	2.9148	39.679	78.6	1.7136
22.1263	12.0443	0.002	0.4243	0	5.9569	3.6607	1.9439	39.392	78.59	3.2809
7.649	12.4999	0	0	0	27.4153	38.314	8.8891	73.536	84.1	2.006
18.4037	11.9653	0.005	0	0	18.1742	29.5382	6.8212	60.298	80.71	1.4119
21.2593	12.0162	0	0	0	11.6545	17.2819	4.8341	45.598	78.88	3.273
22.1233	12.0408	0	0	0	8.5124	9.2487	2.6978	39.737	78.61	3.5264
22.0671	12.0354	0.002	0	0	5.8493	4.5639	1.6456	39.35	78.6	3.3479
14.9319	11.8187	0	0	0	28.0101	27.6421	5.4679	40.149	88.33	1.7144
17.5751	11.9729	0	0	0	16.1702	15.9263	4.4366	40.765	81.64	2.7603
20.8099	12.031	0	0	0	9.3375	8.4006	2.6694	39.775	78.95	3.4583
22.169	12.0327	0	0	0	5.79	4.2219	1.445	39.404	78.61	3.3063
14.4422	10.9084	0	0	0	37.2078	49.9782	12.1361	63.09	84.6	1.6287
17.4679	11.9596	0	0	0	34.9063	36.2285	10.7975	45.661	79.57	1.7357
20.1939	12.0042	0	0	0	20.113	20.5019	7.8812	41.454	78.7	2.4652
21.9451	12.0369	0	0	0	11.2271	10.9326	4.5618	39.956	78.6	3.3539
22.2457	12.039	0	0	0	5.9162	5.3139	2.4462	39.5	78.58	3.4215
16.0685	12.5541	0	0	0	41.0898	51.0262	11.4282	59.832	78.42	1.5452
22.1095	12.0395	0	0	0	31.5165	32.1783	9.7575	46.788	78.74	2.5124
22.1822	12.0401	0	0	0	18.8513	17.9218	7.225	41.423	78.59	2.5888
22.2215	12.0516	0	0	0	10.893	9.2648	4.2627	39.889	78.58	3.3865
22.0769	12.0343	0	0	0	5.8487	4.3157	2.4868	39.457	78.59	3.4644
15.3874	11.8834	0	0	0	47.8457	46.3104	14.4361	51.754	83.8	1.8182
17.6259	11.9266	0	0	0	33.3508	33.8349	12.8161	51.6	80.86	2.1199
20.4318	11.9897	0	0	0	19.1366	19.6742	9.4824	48.651	78.99	2.5696
21.8198	11.9947	0	0	0	10.3178	10.437	5.3763	47.099	78.6	3.3247
22.1513	12.0091	0	0	0	5.5108	4.851	2.5598	46.349	78.54	3.4504
20.1543	12.0448	0	0	0	46.4135	53.7904	15.7608	61.792	79.7	2.253
21.8517	12.0239	0	0	0	36.6787	36.5309	14.1543	55.335	78.99	2.253
22.0025	12.0172	0	0	0	22.1189	20.6491	10.4178	49.592	78.61	2.6144
22.196	12.013	0.001	0.1113	0	12.2775	10.817	6.2631	47.458	78.58	2.7148
22.2286	12.0018	0	0	0	6.271	5.1347	3.3071	46.745	78.54	3.858
13.8327	11.7378	0	0	0	36.4509	36.4103	10.5195	44.5	85.97	1.5029
17.949	11.924	0	0	0	22.9022	28.0893	9.5799	48.626	82.56	1.8484
20.8256	12.0035	0	0	0	12.1847	16.412	6.476	48.184	79.37	2.8645
22.1017	12.0104	0	0	0	7.6474	8.6895	3.7689	46.843	78.65	3.4275
22.185	12.0123	0	0	0	5.104	4.1825	1.9426	46.426	78.55	3.4779
14.9378	11.8194	0	0	0	20.8362	24.5636	7.1501	45.435	84.72	1.8544
18.9692	11.9542	0	0	0	11.4994	14.9328	4.9852	47.959	80.29	2.2915
22.1418	12.021	0	0	0	8.1039	7.8599	3.015	46.769	78.75	3.2652
22.165	12.0275	0	0	0	5.7237	3.9955	1.6224	46.389	78.55	3.161
10.6137	13.0716	0.006	1.9267	0	40.411	45.1277	8.0247	59.477	80.38	1.7664
14.9942	12.0198	0.0211	1.9584	0	32.0405	29.7866	10.0193	55.993	78.98	1.6728
22.1338	12.0136	0	0.2487	0	12.941	15.6779	5.1928	47.232	78.57	2.6787
22.1206	12.006	0	0	0	8.1578	7.9789	3.1975	46.745	78.54	3.1998
22.254	12.0032	0.001	0.1429	0	4.5255	3.7951	1.9639	46.498	78.53	3.4314
7.2165	8.9871	0	0	0	28.2002	34.14	10.0937	68.569	83.28	1.8963
17.5311	11.8545	0.003	0	0	18.5168	26.8286	8.0125	65.473	81.12	1.7127
21.4263	11.9909	0.003	0	0	12.4259	15.9744	5.478	50.129	79.01	2.0237
22.1232	12.0487	0.004	0	0	7.9896	8.1072	2.9865	46.712	78.58	1.9271
22.1574	12.0087	0.003	0	0	5.0738	3.9691	1.679	46.465	78.53	3.6501
13.9001	11.7322	0	0	0	26.9381	25.9382	6.5577	48.056	88.08	1.6096
17.1714	11.8599	0	0	0	14.7459	15.1391	5.1392	48.522	81.66	2.9224
19.5152	11.9548	0	0	0	8.2807	7.8928	3.0092	47.105	78.96	3.626
22.023	12.0018	0	0	0	5.4323	3.9411	1.5545	46.345	78.58	3.2252
11.667	14.0878	0	0	0	47.4696	49.3908	12.493	63.491	85.53	1.7568
17.7233	11.9522	0	0	0	31.1123	35.4747	12.6583	53.806	79.78	2.2168
20.1537	11.9937	0	0	0	18.5995	19.9477	9.0821	48.432	78.68	2.4836
21.6565	12.0024	0	0	0	10.3483	10.5695	5.1764	46.926	78.54	3.3233
22.1855	11.9997	0	0	0	5.1801	5.0466	2.6216	46.447	78.53	3.5288
14.3095	13.8176	0	0	0	42.1438	50.8844	11.9255	60.235	78.88	1.4978
21.7871	12.0134	0	0	0	31.3699	32.8224	11.244	51.171	78.8	2.3937
22.1336	12.016	0	0.4812	0	18.8774	18.2908	8.1091	48.117	78.58	2.5451
22.0439	12.0083	0.001	0.2026	0	10.2147	9.4565	4.8015	46.957	78.58	2.8909
22.2357	12.0123	0	0	0	5.2441	4.4491	2.5835	46.685	78.54	3.5288
13.1739	11.5715	0	0	0	42.7894	46.47	11.1709	53.288	83.99	1.4741
15.3173	11.8616	0	0	0	29.2519	33.6532	9.4119	53.419	81.04	1.7799
18.0999	11.9588	0	0	0	15.4779	19.3633	6.5344	50.349	79.22	1.7302
20.7533	11.9906	0	0	0	7.5534	10.2796	3.8303	49.113	78.94	3.6876
22.0804	12.0286	0	0	0	4.8959	4.7773	1.8481	48.827	78.92	3.359
17.8272	12.1043	0	0	0	44.6792	53.4482	12.4326	62.115	79.83	2.0226
20.1416	12.0385	0	0	0	38.2653	35.997	11.3102	56.155	79.3	2.3937
21.9932	12.0522	0	0	0	21.2167	20.3157	8.356	50.71	78.94	2.4093
22.2222	12.0523	0	0	0	9.2998	10.5934	4.5211	49.315	78.92	3.3836
22.0765	12.0451	0	0	0	5.1773	5.0384	2.1281	48.837	78.91	3.4344
10.5386	10.0837	0	0	0	31.3893	36.5524	7.0353	46.202	86.01	1.519
14.9568	11.905	0	0	0	18.5123	27.5535	6.0946	51.168	82.57	2.2417
18.1356	12.0041	0	0	0	11.3356	15.6496	4.0374	50.03	79.59	2.4475
21.8799	12.0289	0	0	0	6.9518	8.4454	2.5455	49.001	78.99	3.3271
22.0904	12.0612	0	0	0	4.7883	4.1236	1.4777	48.843	78.94	3.1677
15.3976	11.8081	0	0	0	18.4966	24.1281	4.5417	47.531	84.92	1.8094
18.2035	11.9268	0	0	0	10.4758	14.5032	2.9953	50.091	80.54	2.9672
20.9456	12.0232	0	0	0	7.4711	7.6396	1.9301	48.755	79.08	3.149
22.24	12.0463	0	0	0	5.4624	3.9431	1.3559	48.768	78.95	3.2133
10.6948	14.5305	0.005	2.4682	0	43.9891	49.4897	6.851	59.27	82.11	1.7664
22.1656	12.0462	0	0	0	22.2103	32.8502	5.4708	49.563	79.02	2.4262
22.2311	12.0524	0	0	0	10.6983	18.1575	3.4499	48.945	78.94	3.3452
22.2613	12.0593	0	0	0	5.8119	9.5172	1.9282	48.683	78.9	3.4253
22.2382	12.0483	0	0	0	3.9839	4.5918	1.1903	48.744	78.91	3.2857
11.6445	11.2138	0.005	0	0	21.0667	35.7908	8.6015	71.105	84.24	1.74
14.7937	11.8174	0	0	0	13.6904	25.5068	6.3148	67.541	81.47	2.7059
17.1827	11.9134	0	0	0	9.8704	14.6696	3.8223	54.414	79.31	2.9367
20.3194	11.9798	0	0	0	6.8856	7.6569	2.2578	48.919	78.95	3.1684
21.9972	12.0287	0	0	0	4.3158	3.6642	1.2809	48.831	78.93	3.3074
12.4955	11.6659	0	0	0	22.3055	26.7085	3.7817	48.457	88.17	1.9991
15.6024	11.911	0	0	0	12.6389	15.4102	2.8179	50.27	81.73	2.9178
18.5109	11.9921	0	0	0	8.118	8.096	1.7538	49.009	79.28	3.1017
21.1136	12.0159	0	0	0	5.0225	4.0685	1.1999	48.858	78.97	3.2062
10.8245	14.8778	0	0	0	44.8456	51.4191	10.1703	63.891	85.46	1.8668
16.4382	11.9281	0	0	0	31.8183	34.7984	9.3904	53.572	79.9	1.6022
19.0045	12.0069	0	0	0	17.4489	19.4575	6.7581	49.985	79.01	2.1152
21.6296	12.0162	0	0	0	7.7546	10.3014	3.8181	49.214	78.95	3.4275
22.2935	12.0328	0	0	0	4.6079	4.9147	1.8346	48.854	78.94	3.2992
19.3509	12.0716	0	0	0	37.8429	47.7302	9.5343	63.776	79.22	2.2246
21.4237	12.0468	0	0	0	28.4012	31.2111	8.7248	54.578	79.15	2.5151
22.0021	12.0526	0	0	0	16.5234	17.2949	6.1577	50.211	78.92	2.5285
22.0146	12.0513	0	0	0	7.4479	8.836	3.3182	48.952	78.93	3.404
22.353	12.046	0	0	0	4.6401	4.136	1.6789	48.772	78.93	3.2006
13.6967	11.7706	0	0	0	44.2535	45.8953	9.9072	51.28	83.77	1.512
17.0425	11.9192	0	0	0	32.0041	33.2426	8.3331	48.43	80.84	1.6022
21.0527	12.009	0	0	0	17.2033	19.2682	5.707	44.533	79.15	2.5675
22.3557	12.0419	0	0	0	9.1987	10.2527	3.1531	42.933	78.89	3.6218
22.3435	12.0471	0	0	0	5.2154	4.7459	1.393	42.631	78.87	3.1942
